source	target
HSPA6	PIH1D1
PRMT5	RPAP3
PRMT5	PIH1D1
ACTR1A	RPAP3
ACTR1A	PIH1D1
ACTR1A	PFDN4
ACTR1A	PFDN6
ACTR1A	CCT2
ACTR1A	CCT3
ACTR1A	CCT7
ACTR1A	CCT8
HSP90AB1	RPAP3
HSP90AB1	PIH1D1
HSP90AB1	POLR2E
HSP90AB1	TCP1
HSP90AB1	CCT2
HSP90AB1	CCT3
CDC42	RUVBL1
GSTP1	RUVBL1
LRRC59	RUVBL1
DCTN2	RUVBL1
PSMC3	RUVBL1
SNRNP70	RUVBL1
SRSF11	RUVBL1
PABPC1	RUVBL1
DSG1	RUVBL1
SMARCC2	RUVBL1
NUMA1	RUVBL1
PSMC6	RUVBL1
PSMC6	CCT2
PSMA3	RUVBL1
PSMA3	CCT2
PSMA3	CCT3
PSMA3	CCT4
PSMA3	CCT6A
PSMA3	CCT7
PSMA3	CCT8
U2AF2	RUVBL1
U2AF2	CCT2
U2AF2	CCT6A
U2AF2	CCT8
IQGAP1	RUVBL1
IQGAP1	CCT2
IQGAP1	PIH1D1
SRSF2	RUVBL1
SRSF2	CCT5
VDAC1	RUVBL1
VDAC1	CCT8
VDAC1	PIH1D1
DYNC1I2	RUVBL1
DYNC1I2	PFDN1
DYNC1I2	PFDN2
DYNC1I2	VBP1
DYNC1I2	PFDN6
DYNC1I2	TCP1
DYNC1I2	CCT2
DYNC1I2	CCT3
DYNC1I2	CCT7
DYNC1I2	CCT8
ELAVL1	RUVBL1
ELAVL1	PFDN2
TUBB	RUVBL1
TUBB	PFDN2
TUBB	PFDN4
TUBB	VBP1
TUBB	PFDN5
TUBB	PFDN6
TUBB	TCP1
TUBB	CCT2
TUBB	CCT8
TUBB	PIH1D1
CAPNS1	RUVBL1
CAPNS1	PIH1D1
MARCKS	RUVBL1
MARCKS	PIH1D1
CAND1	RUVBL1
CAND1	PIH1D1
UCHL5	RUVBL1
UCHL5	RUVBL2
ILF2	RUVBL1
ILF2	RUVBL2
HSPA1L	RUVBL1
HSPA1L	RUVBL2
DDX42	RUVBL1
DDX42	RUVBL2
DLD	RUVBL1
DLD	RUVBL2
DLD	CCT2
DLD	CCT7
DLD	CCT8
SOD1	RUVBL1
SOD1	RUVBL2
SOD1	CCT2
SOD1	CCT7
SOD1	CCT8
SOD1	PFDN2
CAD	RUVBL1
CAD	RUVBL2
CAD	CCT3
CAD	CCT4
CAD	CCT6A
CAD	CCT8
CAD	PIH1D1
UFL1	RUVBL1
UFL1	RUVBL2
UFL1	PFDN2
UFL1	TCP1
UFL1	CCT2
UFL1	CCT3
UFL1	CCT8
MATR3	RUVBL1
MATR3	RUVBL2
MATR3	PIH1D1
KPNB1	RUVBL1
KPNB1	RUVBL2
KPNB1	PIH1D1
PRKDC	RUVBL1
PRKDC	RUVBL2
PRKDC	PIH1D1
